,Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
59,4,6,4864,6,6,82992,182,4096,9,0,4,9,64,1632,0,1
60,4,6,4880,6,6,86512,182,4096,9,0,4,9,64,1632,0,1
61,4,6,4464,6,6,83184,182,94208,11,0,5,9,16736,1568,0,1
62,4,6,4464,6,6,83264,182,94208,11,0,5,9,16736,1568,0,1
63,4,6,5152,6,6,196256,182,4096,9,0,4,9,64,1632,0,1
64,4,6,5168,6,6,200464,182,4096,9,0,4,9,64,1632,0,1
65,4,11,136416,10,10,158752,112,130680,14,10,6,9,16736,1328,0,1
67,4,0,0,0,4,0,0,373716,2,27,9,18,0,2512,0,1
68,1,6,53370,1,4,32768,97,37272,2,29,10,18,0,0,0,1
69,4,11,13168,10,10,14992,188,12560,14,10,6,9,16736,1040,0,1
70,4,6,718736,10,6,870608,52135,708608,12,10,6,12,16736,1056,0,1
71,4,0,0,0,4,0,0,319488,8,0,4,12,33024,784,0,1
72,4,11,45056,10,10,62112,552,41496,14,10,6,9,16736,1376,0,1
73,1,10,115312,0,6,147072,748,114688,12,0,4,12,320,1504,0,1
74,1,6,8400,0,4,0,0,8192,11,0,2,12,34112,1064,0,1
75,4,11,123152,10,10,0,0,77824,14,10,5,11,49504,6320,0,1
76,1,11,33584,10,10,329472,143,335872,14,10,5,9,16704,2592,0,1
77,1,11,41188,0,6,57344,112,45056,14,10,3,12,320,0,0,1
78,1,0,0,0,4,0,0,107244,5,0,4,12,0,41640,0,1
79,1,10,74144,0,6,99936,292,73728,12,0,4,12,320,1488,0,1
80,1,11,21392,10,10,83632,172,90112,14,10,5,9,16704,438488,0,1
81,4,6,1658984,0,4,1622016,58,1629428,2,30,12,18,320,3000,0,1
82,4,6,2646110,0,4,2609152,48,2616120,2,30,12,18,320,3000,0,1
83,4,0,0,1,4,0,0,7331840,3,0,4,7,0,35744,0,1
84,4,11,38080,10,10,42416,168,33776,14,10,5,9,16736,992,0,1
85,4,6,5072,6,6,48128,165,4096,9,0,4,9,320,992,0,1
87,4,6,7424,6,6,0,0,4096,9,0,4,11,33088,66880,0,1
88,1,11,10416,10,10,0,0,143360,14,10,6,9,49600,66880,0,1
89,4,11,152544,10,10,0,0,140952,14,10,7,11,49632,66880,0,1
90,1,6,5760,6,6,0,0,4096,9,0,3,9,33088,66880,0,1
91,1,11,10352,10,10,157696,142,167936,14,10,5,9,16704,500360,0,1
92,4,11,164192,10,10,193184,144,155008,14,10,6,9,16736,500360,0,1
93,1,6,4752,6,6,69136,142,4096,9,0,3,9,320,142280,0,1
94,4,6,5408,6,6,86912,142,4096,9,0,4,9,320,142280,0,1
95,4,11,206896,10,10,0,0,177648,14,10,5,11,49504,2937496,0,1
96,4,6,6928,6,6,0,0,4096,9,0,4,11,33088,252400,0,1
97,4,11,9024,10,10,0,0,8464,14,10,5,11,49504,1056,0,1
98,1,11,80152,0,6,118784,214,81920,14,10,4,12,320,1344,0,1
99,1,11,11248,10,10,57072,318,65536,14,10,4,9,16704,1000,0,1
100,4,11,68656,10,10,79520,328,58256,14,10,5,9,16736,1000,0,1
101,4,6,20480,0,4,0,0,70192,2,28,16,18,32768,1256,0,1
102,1,11,96368,10,10,601584,632,618496,14,10,4,9,16704,280860,0,1
103,4,11,733184,10,10,786080,632,632312,14,10,5,9,16736,280860,0,1
104,4,6,5760,6,6,700112,632,4096,9,0,4,9,64,283092,0,1
105,1,11,4416,10,10,5984,857,12288,14,10,4,9,17728,992,0,1
106,4,11,9024,10,10,9680,860,8464,14,10,5,9,16736,992,0,1
107,1,6,4240,6,6,6224,857,4096,9,0,3,9,1344,992,0,1
108,4,6,4432,6,6,7888,857,4096,9,0,4,9,320,992,0,1
109,4,6,4688,6,6,49792,569,4096,9,0,4,9,320,1328,0,1
110,1,10,255744,15,6,274624,172,167936,14,11,4,12,16704,405040,0,1
111,4,10,293280,15,6,333424,172,184320,14,11,5,12,16736,405040,0,1
112,1,10,4096,15,6,0,0,0,14,11,1,12,1344,370504,0,1
113,4,10,4096,15,6,0,0,0,14,11,1,12,352,370504,0,1
114,1,6,25072,0,4,0,0,8192,48,0,2,12,34144,1792,0,1
115,1,10,1685152,15,6,1930272,232,1572864,14,11,5,12,16704,11576,0,1
116,1,10,238800,15,6,264832,236,217088,14,11,4,12,16704,7768,0,1
117,1,11,4096,15,6,0,0,0,14,11,1,12,1344,6956,0,1
118,1,11,4096,15,6,0,0,0,14,11,1,12,1344,6936,0,1
119,1,11,4096,15,6,0,0,0,14,11,1,12,1344,6704,0,1
120,1,11,4096,15,6,0,0,0,14,11,1,12,1344,3376,0,1
121,1,11,4096,15,6,0,0,0,14,11,1,12,1344,7256,0,1
122,1,11,4096,15,6,0,0,0,14,11,1,12,1344,6520,0,1
123,1,11,4096,15,6,0,0,0,14,11,1,12,1344,7460,0,1
124,1,11,4096,15,6,0,0,0,14,11,1,12,1344,6440,0,1
125,1,11,4096,15,6,0,0,0,14,11,1,12,1344,7744,0,1
126,1,11,4096,15,6,0,0,0,14,11,1,12,1344,7212,0,1
127,1,10,329052,0,5,0,0,0,11,0,3,0,34112,1066,0,1
131,1,6,242976,0,5,0,0,241664,10,0,6,12,33088,14608,0,1
133,1,11,4528,10,10,15696,808,24576,14,10,4,9,17728,984,0,1
134,1,6,4288,6,6,16384,808,4096,9,0,3,9,1344,984,0,1
135,4,6,545984,502,5,768000,81,544768,10,0,5,12,448,960,0,1
136,1,6,434784,502,5,581280,81,434176,10,0,4,12,448,960,0,1
137,4,11,544928,10,10,606016,9016,332032,14,10,6,11,49504,2528,0,1
138,4,6,7104,6,6,562528,9044,4096,9,0,4,11,33088,2528,0,1
139,1,11,64224,10,6,213376,272,225280,14,10,4,12,33088,50112,0,1
140,1,6,4096,10,6,0,0,0,14,10,1,12,1344,155032,0,1
141,1,11,307028,10,6,62084,224,319488,14,10,6,12,320,1624,0,1
142,1,11,11088,10,6,4360,163,16384,14,10,4,12,1344,984,0,1
143,1,11,11088,10,6,4360,163,16384,14,10,4,12,1344,1000,0,1
144,1,6,4096,10,6,0,0,0,14,10,1,12,1344,76360,0,1
145,1,10,11340,0,4,0,0,8192,48,0,2,12,34144,2212,0,1
146,1,6,41312,0,5,48864,74,40960,9,0,4,12,320,1552,0,1
147,4,6,45760,0,5,55024,74,45056,9,0,5,12,320,1560,0,1
149,1,11,44176,10,6,0,0,319488,14,10,6,12,33088,1824,0,1
150,4,11,319024,10,6,354288,244,262144,14,10,7,12,352,1056,0,1
151,1,11,38032,10,6,261600,243,274432,14,10,6,12,320,1048,0,1
152,1,11,38032,10,6,261600,243,274432,14,10,6,12,320,1056,0,1
153,4,6,5360,6,6,0,0,4096,9,0,4,11,33088,2176,0,1
154,1,11,31856,10,10,0,0,106496,14,10,4,9,49472,2168,0,1
155,4,11,124160,10,10,0,0,93616,14,10,5,11,49504,2176,0,1
156,1,6,4736,6,6,0,0,4096,9,0,3,9,33088,2168,0,1
157,4,11,14720,10,10,15776,116,12560,14,10,5,9,16736,1104,0,1
158,4,6,4512,6,6,34176,113,4096,9,0,4,9,320,1104,0,1
159,4,6,16384,0,4,32768,147,37240,2,28,9,18,0,0,0,1
160,4,11,147536,10,10,171008,184,131584,14,10,6,9,16736,1392,0,1
161,4,11,42064,10,10,0,0,36280,14,10,5,11,49504,2160,0,1
162,1,11,5152,10,10,8848,163,16384,14,10,4,9,16704,1032,0,1
163,4,11,10688,10,10,11616,164,9856,14,10,5,9,16736,1032,0,1
164,1,6,4288,6,6,8800,163,4096,9,0,4,9,320,1032,0,1
165,4,6,4480,6,6,11104,163,4096,9,0,5,9,320,1032,0,1
166,1,0,0,0,4,0,0,36864,6,0,3,12,0,66232,0,1
167,1,14,104672,0,6,0,0,81920,14,0,5,12,33088,1368,0,1
168,1,11,4416,10,10,0,0,12288,14,10,4,9,49472,175080,0,1
169,4,11,9040,10,10,0,0,8464,14,10,5,11,49504,175088,0,1
170,4,11,36800,10,10,0,0,32000,14,10,5,11,49504,1032,0,1
171,1,6,155796,0,4,0,0,8192,48,0,2,12,34144,60044,0,1
172,4,6,442467,0,4,307200,53,312160,2,30,12,18,320,111640,0,1
173,4,6,442466,0,4,307200,52,312160,2,30,12,18,320,111024,0,1
174,1,6,98360,0,4,0,0,8192,48,0,2,12,34144,60136,0,1
175,4,6,1532015,0,4,1499136,65,1506016,2,30,12,18,320,3000,0,1
176,1,6,1556591,1,4,1495040,65,1500616,2,29,11,18,320,3000,0,1
177,4,6,57484,0,4,0,0,41564,2,30,10,18,0,1256,0,1
178,1,6,49292,1,4,0,0,33104,2,29,9,18,0,1256,0,1
179,4,6,1540197,0,4,1507328,55,1514240,2,30,12,18,320,3000,0,1
180,4,6,2084970,0,4,2052096,60,2058960,2,30,12,18,320,3000,0,1
181,1,6,1855594,1,4,1789952,60,1795520,2,29,11,18,320,3000,0,1
182,4,6,442470,0,4,307200,52,312160,2,30,12,18,320,110856,0,1
183,4,6,1532011,0,4,1499136,61,1506000,2,30,12,18,320,3000,0,1
184,4,6,1646697,0,4,1609728,59,1616812,2,30,12,18,320,3000,0,1
185,1,6,1679465,1,4,1613824,59,1619508,2,29,11,18,320,3000,0,1
186,4,6,1663080,0,4,1626112,58,1633288,2,30,12,18,320,3000,0,1
187,4,6,331878,0,4,307200,56,312160,2,30,12,18,320,3000,0,1
188,1,6,323682,1,4,299008,48,303596,2,29,11,18,320,3000,0,1
189,1,10,598720,14,6,670736,25642,598016,12,0,4,12,320,1512,0,1
190,1,6,302928,0,4,0,0,8192,48,0,2,12,34144,1628,0,1
191,4,6,442467,0,4,307200,49,312160,2,30,12,18,320,110856,0,1
192,1,10,3368880,0,6,3748176,424,3067904,14,10,5,12,320,1152,0,1
194,1,11,1598932,0,6,1638400,209,1601536,14,10,5,12,320,1176,0,1
195,1,10,2528640,0,6,2781424,208,2277376,14,10,5,12,320,1152,0,1
196,1,6,323686,1,4,299008,56,303596,2,29,11,18,320,3000,0,1
197,4,6,1663082,0,4,1626112,60,1633196,2,30,12,18,320,3000,0,1
198,1,6,1695850,1,4,1626112,60,1631796,2,29,11,18,320,3000,0,1
199,4,6,1511536,0,4,1478656,66,1485520,2,30,12,18,320,3000,0,1
200,1,6,1544304,1,4,1482752,66,1488320,2,29,11,18,320,3000,0,1
201,4,6,1511529,0,4,1478656,59,1485520,2,30,12,18,320,3000,0,1
202,1,6,1544297,1,4,1482752,59,1488320,2,29,11,18,320,3000,0,1
203,4,6,1609834,0,4,1576960,60,1583840,2,30,12,18,320,3000,0,1
204,1,10,1165264,0,6,1563024,4803,1163264,12,10,4,12,33088,2800,0,1
205,1,11,1935200,0,6,2084528,18020,1638400,14,10,5,12,49472,2784,1,1
206,1,10,1220288,0,6,1324976,864,1007616,14,10,7,12,33088,391420,1,1
207,1,10,42688,0,6,0,0,36864,14,10,6,12,33088,100388,0,1
208,1,11,18560,10,10,167504,932,184320,14,10,5,9,16704,21344,0,1
209,4,11,183696,10,10,204816,932,181344,14,10,6,9,16736,21344,0,1
210,1,6,4544,6,6,231184,932,4096,9,0,3,9,320,19984,0,1
211,4,6,4944,6,6,217136,932,4096,9,0,4,9,320,19984,0,1
212,1,11,34768,10,10,87616,193,94208,14,10,5,9,16704,972376,0,1
213,4,11,90208,10,10,104528,196,58288,14,10,6,9,16736,972376,0,1
214,1,6,4496,6,6,134336,139,4096,9,0,3,9,320,972376,0,1
215,4,6,4928,6,6,121104,139,4096,9,0,4,9,320,972376,0,1
216,1,11,85184,0,6,155648,181,86016,14,10,5,12,320,1192,0,1
217,4,11,118736,0,6,192512,181,122880,14,10,7,12,16736,1192,0,1
218,1,6,4096,0,6,4128,52,0,14,10,1,12,1344,165300,0,1
219,1,0,0,0,6,662336,3845,643072,11,0,4,12,320,1281,0,1
220,4,6,6704,6,6,93520,168,4096,9,0,4,9,320,130152,0,1
221,1,6,5424,6,6,86816,168,4096,9,0,3,9,320,130152,0,1
222,1,11,33088,10,10,0,0,192512,14,10,4,9,49472,41424,0,1
223,4,11,186256,10,10,0,0,135168,14,10,5,11,49504,41424,0,1
224,4,11,55088,10,10,63696,124,50032,14,10,5,9,16736,1232,0,1
225,1,6,10812,0,4,0,0,8192,8,0,2,12,34112,1624,0,1
226,4,6,8496,0,4,0,0,8192,8,0,5,12,0,3167612,1,1
227,4,6,16384,0,4,0,0,32988,2,28,8,18,32768,1256,0,1
228,4,6,196608,0,4,0,0,226464,2,25,8,18,32768,1256,0,1
229,1,6,192512,1,4,0,0,226012,2,25,7,18,32768,1256,0,1
230,1,6,4096,0,6,0,0,0,14,10,1,12,1344,115264,0,1
231,1,6,4096,0,6,0,0,0,14,10,1,12,1344,4700,0,1
232,4,11,1589452,0,6,1617920,212,1593344,14,10,7,12,16736,351440,1,1
233,4,6,4096,0,6,4128,64,0,14,10,1,12,16736,8911852,1,1
234,4,11,60912,10,10,66176,168,54864,14,10,5,9,16736,2856,0,1
235,4,6,5456,6,6,71296,167,4096,9,0,4,9,320,2856,0,1
237,1,11,7808,10,10,25696,112,32768,14,10,5,9,16704,1056,0,1
238,4,11,29392,10,10,31760,112,25056,14,10,6,9,16736,1056,0,1
239,4,6,5040,6,6,0,0,4096,9,0,4,11,33088,3848,0,1
240,1,6,4096,0,6,0,0,0,14,10,1,12,1344,3007784,0,1
241,1,11,219376,10,10,0,0,757760,14,10,5,9,49472,3467904,0,1
242,4,11,829568,10,10,0,0,654728,14,10,6,11,49504,3467904,0,1
243,1,6,8880,6,6,717872,89,4096,9,0,3,9,33088,3483832,0,1
244,4,6,13648,6,6,1046048,89,4096,9,0,4,11,33088,3483832,0,1
245,1,11,53680,10,10,138336,112,147456,14,10,4,9,16704,1048,0,1
246,4,11,153456,10,10,167616,112,110872,14,10,5,9,16736,1048,0,1
247,4,6,4960,6,6,226816,112,4096,9,0,4,9,320,1048,0,1
248,1,6,4512,6,6,184128,112,4096,9,0,3,9,320,1048,0,1
250,1,6,36952,0,4,0,0,8192,11,0,2,12,34144,1104,0,1
251,1,6,653780,0,4,0,0,8192,48,0,2,12,34144,1208,0,1
252,1,6,81132,0,4,0,0,8192,48,0,2,12,34144,1604,0,1
253,4,6,964560,0,5,1265856,43733,962560,10,0,5,12,320,64536,0,1
254,1,6,758752,0,5,953136,45311,757760,10,0,4,12,320,85704,0,1
255,1,10,139664,0,6,176048,146,139264,12,0,4,12,320,1712,0,1
256,1,10,143760,0,6,180144,146,143360,12,0,4,12,320,1712,0,1
257,4,11,89440,10,10,100896,112,71776,14,10,6,9,16736,3208,0,1
258,4,6,5776,6,6,109616,111,4096,9,0,4,9,320,3272,0,1
259,4,11,9136,10,10,0,0,8464,14,10,5,11,49504,50048,0,1
260,4,6,4608,6,6,0,0,4096,9,0,4,11,33088,50048,0,1
262,1,10,430720,0,6,559776,151,430080,12,0,4,12,320,1624,0,1
263,1,10,434816,0,6,564448,151,434176,12,0,4,12,320,1624,0,1
264,1,11,97232,10,10,420176,1211,434176,14,10,5,9,16704,321928,0,1
265,4,11,496928,10,10,528336,1212,397336,14,10,6,9,16736,321928,0,1
266,1,6,5440,6,6,464192,1211,4096,9,0,3,9,320,321928,0,1
267,4,6,6736,6,6,619872,1211,4096,9,0,4,9,320,321928,0,1
268,1,11,55808,10,10,247712,165,286720,14,10,4,9,16704,25864,0,1
269,4,11,285424,10,10,355024,168,251144,14,10,5,9,16736,25872,0,1
270,4,10,19036,0,5,0,0,0,11,0,3,0,33088,1056,0,1
284,1,6,151316,0,4,0,0,8192,11,0,2,12,34144,1032,0,1
285,1,6,19540,0,4,0,0,8192,11,0,2,12,34144,1576,0,1
286,1,6,18520,0,4,0,0,8192,11,0,2,12,34144,4008,0,1
287,1,6,27560,0,4,0,0,8192,11,0,2,12,34144,1008,0,1
288,1,0,0,0,4,0,0,8192,11,0,2,12,34144,1080,0,1
289,1,0,0,0,4,0,0,8192,11,0,2,12,34144,69400,0,1
290,1,6,211152,0,4,0,0,8192,11,0,2,12,34144,1040,0,1
291,1,6,130192,0,4,0,0,8192,11,0,2,12,34144,3976,0,1
307,1,10,26404,0,4,0,0,8192,48,0,2,12,34144,6240,0,1
308,1,10,70928,0,5,0,0,0,11,0,3,0,34112,1266,0,1
309,1,10,75584,0,4,0,0,8192,48,0,2,12,34144,43080,0,1
310,1,10,473924,0,4,0,0,8192,48,0,2,12,34144,52196,0,1
311,1,10,1414716,0,5,0,0,0,11,0,3,0,34112,1330,0,1
312,1,10,2218360,0,5,0,0,0,11,0,3,0,34112,1048,0,1
313,1,10,312656,0,4,0,0,8192,48,0,2,12,34144,1088,0,1
314,1,10,19144,0,4,0,0,8192,48,0,2,12,34144,1252,0,1
315,1,10,160812,0,4,0,0,8192,48,0,2,12,34144,1128,0,1
316,1,10,117368,0,4,0,0,8192,48,0,2,12,34144,1176,0,1
317,1,10,510644,0,4,0,0,8192,48,0,2,12,34144,1176,0,1
318,1,11,42176,10,10,535920,229,561152,14,10,5,9,16704,706712,0,1
319,4,11,537424,10,10,647328,232,515968,14,10,6,9,16736,706712,0,1
320,4,6,7904,6,6,649216,229,4096,9,0,4,9,320,702032,0,1
321,1,6,6016,6,6,520448,229,4096,9,0,3,9,320,702032,0,1
323,1,6,4128,6,6,53168,241,78400,10,10,4,9,320,1565040,0,1
325,4,6,4144,6,6,60272,241,87016,10,10,5,9,320,1724332,0,1
326,1,11,7776,10,10,77936,1716,86016,14,10,5,9,16704,1304,0,1
327,4,11,78768,10,10,92336,1716,74096,14,10,6,9,16736,1304,0,1
328,4,6,5104,6,6,82480,1716,4096,9,0,4,9,320,1304,0,1
329,1,11,162240,10,6,0,0,159744,14,10,4,12,320,1128,0,1
330,4,11,66880,10,10,0,0,62640,14,10,7,11,49632,2392,0,1
332,4,6,4960,6,6,34128,165,4096,9,0,4,9,64,65924,0,1
333,4,6,4960,6,6,35216,165,4096,9,0,4,9,64,70456,0,1
334,4,6,4960,6,6,34128,165,4096,9,0,4,9,64,45852,0,1
335,4,6,4992,6,6,35952,165,4096,9,0,4,9,64,68112,0,1
336,4,6,4864,6,6,79248,124,4096,9,0,5,9,64,145680,0,1
337,4,6,4864,6,6,79616,124,4096,9,0,5,9,64,144760,0,1
338,4,6,4864,6,6,79248,124,4096,9,0,5,9,64,145432,0,1
339,4,6,4880,6,6,81600,124,4096,9,0,5,9,64,148952,0,1
340,4,6,4816,6,6,0,0,4096,9,0,4,11,33088,2040,0,1
341,1,11,17984,10,10,106096,2345,167936,14,10,4,9,16704,2008,0,1
342,4,11,127168,10,10,133024,2348,110912,14,10,5,9,16736,2008,0,1
343,4,6,6224,6,6,174432,2263,4096,9,0,4,9,64,1336,0,1
344,1,6,5168,6,6,150512,2263,4096,9,0,3,9,320,1336,0,1
345,4,6,6640,6,6,218912,164,4096,9,0,4,9,64,61000,0,1
346,1,6,5392,6,6,180048,164,4096,9,0,3,9,320,61000,0,1
347,4,0,0,6,6,0,0,0,9,0,0,9,64,163088,0,1
348,1,0,0,6,6,0,0,0,9,0,0,9,1344,163088,0,1
349,4,10,403872,6,6,425816,165,405504,8,0,5,9,64,1400,0,1
350,4,11,789328,10,10,840480,444,772904,14,10,7,9,16736,707944,0,1
351,1,11,22000,10,10,708064,441,716800,14,10,6,9,16704,707944,0,1
352,1,10,425880,6,6,117248,165,4096,8,0,3,9,320,1400,0,1
353,1,11,185036,0,6,237568,494,188416,14,10,5,12,320,7648,0,1
355,1,0,0,6,5,0,0,36864,10,0,5,12,34112,422352,0,1
356,1,11,41296,6,5,0,0,36864,14,0,5,12,34112,104960,0,1
357,1,11,41328,6,5,0,0,36864,14,0,5,12,50496,193712,0,1
358,1,11,5056,10,10,13248,1170,20480,14,10,5,9,16704,1080,0,1
359,4,11,18624,10,10,20672,1172,17264,14,10,6,9,16736,1080,0,1
360,4,6,4832,6,6,23936,1170,4096,9,0,4,9,320,1080,0,1
361,1,6,4464,6,6,18896,1170,4096,9,0,3,9,320,1080,0,1
362,4,6,40960,0,4,0,0,58000,2,28,8,18,32768,1256,0,1
363,1,6,40960,1,4,0,0,57760,2,28,7,18,32768,1256,0,1
364,1,10,4096,10,10,0,0,0,14,10,1,9,1344,853392,0,1
365,4,10,4096,10,10,0,0,0,14,10,1,9,352,853392,0,1
366,4,0,0,6,6,0,0,0,10,10,0,9,320,840456,0,1
367,4,0,0,6,6,0,0,0,9,0,0,9,64,761840,0,1
368,1,11,68848,10,10,895792,1439,913408,14,10,5,9,16704,16936,0,1
369,4,11,987632,10,10,1147792,1440,938976,14,10,6,9,16736,16936,0,1
370,1,6,18932,0,4,0,0,8192,11,0,2,12,34144,960,0,1
371,1,6,19252,0,4,0,0,8192,11,0,2,12,34144,1024,0,1
372,4,6,49152,0,4,0,0,66064,2,28,8,18,32768,1256,0,1
374,4,6,4848,6,6,0,0,4096,9,0,4,11,33088,2064,0,1
375,1,11,12000,10,10,0,0,36864,14,10,4,9,49472,2056,0,1
376,4,0,0,0,4,0,0,33268,2,25,17,18,0,1256,0,1
377,1,11,216768,10,10,223168,90,229376,14,10,4,9,16704,1048,0,1
378,4,11,225456,10,10,226720,92,12560,14,10,5,9,16736,1048,0,1
379,1,6,4224,6,6,221472,90,4096,9,0,3,9,320,1048,0,1
380,4,6,4352,6,6,223424,90,4096,9,0,4,9,320,1048,0,1
381,1,11,4432,10,10,9072,87,16384,14,10,4,9,16704,1056,0,1
382,4,11,13072,10,10,14096,88,12736,14,10,5,9,16736,1056,0,1
383,1,11,4544,10,10,12352,89,20480,14,10,4,9,16704,1048,0,1
384,4,11,17360,10,10,18656,92,16656,14,10,5,9,16736,1048,0,1
385,1,6,4240,6,6,11072,89,4096,9,0,3,9,320,1048,0,1
386,4,6,4400,6,6,13472,89,4096,9,0,4,9,320,1048,0,1
387,1,11,6656,10,10,8352,88,20480,14,10,4,9,17728,1032,0,1
388,4,11,11168,10,10,11760,88,8656,14,10,5,9,16736,1032,0,1
389,4,11,224076,0,6,286720,486,225280,14,10,7,12,16736,7648,0,1
391,4,11,6033376,10,10,6629552,2616,5869376,14,10,7,9,16736,5750896,1,1
392,4,11,126464,10,10,132144,4296,87920,14,10,5,11,49504,2328,0,1
393,4,11,70048,10,10,0,0,65856,14,10,5,11,49504,88000,0,1
394,1,6,4096,0,6,4128,56,0,14,10,1,12,1344,3672,0,1
395,4,10,12581616,1,10,13194560,684,10969088,14,0,6,12,16736,1000,0,1
396,4,11,14842528,10,10,15189280,80,4677632,14,0,6,12,16736,1024,0,1
397,1,6,4365824,10,10,75010480,334,4362240,12,0,4,12,320,1024,0,1
398,4,6,317200,0,6,0,0,233472,14,0,6,12,49504,8168,0,1
400,1,6,8400,0,4,0,0,8192,8,0,2,12,1088,1040,0,1
401,4,11,296320,10,6,0,0,200704,12,10,5,21,49504,1892,0,1
402,4,10,4096,10,10,0,0,0,14,10,1,9,352,693448,1,1
403,1,11,18288,10,10,170720,104,196608,14,10,4,9,16704,976,0,1
404,4,11,152784,10,10,216784,104,144368,14,10,5,9,16736,976,0,1
405,1,6,4160,0,6,62896,57,876544,12,0,4,12,320,912,0,1
406,1,6,4400,0,4,37024,57,4096,8,0,3,12,320,912,0,1
407,1,11,1339916,10,6,398924,104,1355776,14,10,5,12,320,2339112,1,1
408,1,6,4096,10,6,0,0,0,14,10,1,12,1344,361304,0,1
409,1,11,14352,10,10,319904,163,331776,14,10,4,9,16704,17120,0,1
410,4,11,337616,10,10,384464,164,320960,14,10,5,9,16736,17120,0,1
411,1,6,4832,6,6,285456,163,4096,9,0,3,9,320,17112,0,1
412,4,6,5536,6,6,373968,163,4096,9,0,4,9,320,17112,0,1
413,1,11,19296,10,10,212512,1915,311296,14,10,7,9,16704,1360,0,1
414,4,11,13632,10,6,16752,80,12288,14,10,5,12,352,1024,0,1
415,4,11,289536,10,10,333360,484,247880,14,10,6,9,16736,1488,0,1
416,1,11,34576,10,10,256608,482,274432,14,10,5,9,16704,1488,0,1
417,2,11,69376,10,10,253072,482,282624,14,10,6,9,16704,1488,0,1
418,4,11,1197968,10,10,1386320,160,1059176,14,10,6,9,16736,1056,0,1
419,4,10,123760,0,6,174400,132,122880,12,0,5,12,352,1328,0,1
420,4,6,16384,0,4,32768,137,37304,2,28,10,18,32768,1256,0,1
421,1,6,82464,0,4,0,0,8192,11,0,2,12,34144,960,0,1
422,4,11,69008,10,10,76608,120,62904,14,10,6,9,16736,1056,0,1
423,1,11,119984,0,6,139760,116,110592,14,10,5,12,16704,992,0,1
424,4,11,143392,0,6,181504,116,122880,14,10,6,12,16736,992,0,1
425,4,6,528384,0,0,597056,52,0,9,0,11,12,0,25536,0,1
426,4,6,442368,0,0,498704,54,0,9,0,8,12,0,21628,0,1
427,4,6,5200,6,6,0,0,4096,9,0,4,11,32832,6416,0,1
